No,ImageName,LogoDetect
0,_s1682525441.jpg,0
1,_1682338291.jpg,0
2,_1682233930.jpg,0
3,_1684475550.jpg,1
4,_1682469552.jpg,0
5,_1682306090.jpg,0
6,_1682470611.jpg,1
7,_1682476274.jpg,0
8,_1682491162.jpg,0
9,_s1682388921.jpg,0
10,_1682675275.jpg,0
11,_1684247557.jpg,0
12,_1682220124.jpg,0
13,_1684375254.jpg,1
14,_1682486627.jpg,0
15,_1684491758.jpg,1
16,image_2.jpg,1
17,_1682466642.jpg,0
18,_1683614756.jpg,0
19,_1682372327.jpg,0
20,_1682675457.jpg,0
21,_1682219695.jpg,0
22,_s1682388961.jpg,0
23,_1682534170.jpg,0
24,_1682491644.jpg,0
25,_1682468778.jpg,0
26,_1684375428.jpg,0
27,_1682485965.jpg,0
28,_1682486063.jpg,0
29,_1682675769.jpg,0
